event_id,user_id,service,event_type,value,unit,timestamp
EVT-1001,U1,Superonline,USAGE,6.4,GB,2026-03-12T09:10:00Z
EVT-1002,U1,TV+,CONTENT_CONSUMPTION,70.0,MIN,2026-03-12T12:30:00Z
EVT-1003,U1,Superonline,USAGE,9.1,GB,2026-03-12T15:05:00Z
EVT-1004,U1,Paycell,PAYMENT,140.0,TRY,2026-03-12T16:40:00Z
EVT-1005,U1,Fizy,CONTENT_CONSUMPTION,55.0,MIN,2026-03-12T18:10:00Z
EVT-2001,U2,Paycell,PAYMENT,220.0,TRY,2026-03-12T10:15:00Z
EVT-2002,U2,Paycell,PAYMENT,160.0,TRY,2026-03-12T13:20:00Z
EVT-2003,U2,Superonline,USAGE,7.2,GB,2026-03-12T14:55:00Z
EVT-2004,U2,Game+,CONTENT_CONSUMPTION,90.0,MIN,2026-03-12T19:00:00Z
EVT-3001,U3,TV+,CONTENT_CONSUMPTION,130.0,MIN,2026-03-12T11:10:00Z
EVT-3002,U3,Fizy,CONTENT_CONSUMPTION,95.0,MIN,2026-03-12T12:05:00Z
EVT-3003,U3,Game+,CONTENT_CONSUMPTION,85.0,MIN,2026-03-12T20:30:00Z
EVT-3004,U3,Superonline,USAGE,5.0,GB,2026-03-12T21:10:00Z
EVT-4001,U4,Superonline,USAGE,9.8,GB,2026-03-12T09:40:00Z
EVT-4002,U4,Paycell,PAYMENT,90.0,TRY,2026-03-12T17:25:00Z
EVT-4003,U4,TV+,CONTENT_CONSUMPTION,45.0,MIN,2026-03-12T19:50:00Z
EVT-5001,U5,Superonline,USAGE,8.3,GB,2026-03-12T08:50:00Z
EVT-5002,U5,Paycell,PAYMENT,260.0,TRY,2026-03-12T12:45:00Z
EVT-5003,U5,Superonline,USAGE,9.0,GB,2026-03-12T17:10:00Z
EVT-5004,U5,Paycell,PAYMENT,160.0,TRY,2026-03-12T18:05:00Z
EVT-5005,U5,Fizy,CONTENT_CONSUMPTION,40.0,MIN,2026-03-12T21:40:00Z
EVT-6001,U6,Superonline,USAGE,3.2,GB,2026-03-12T07:30:00Z
EVT-6002,U6,TV+,CONTENT_CONSUMPTION,30.0,MIN,2026-03-12T19:00:00Z
EVT-6003,U6,Paycell,PAYMENT,50.0,TRY,2026-03-12T12:15:00Z
EVT-7001,U7,Superonline,USAGE,12.5,GB,2026-03-12T10:20:00Z
EVT-7002,U7,Paycell,PAYMENT,180.0,TRY,2026-03-12T14:30:00Z
EVT-7003,U7,Game+,CONTENT_CONSUMPTION,120.0,MIN,2026-03-12T20:45:00Z
EVT-7004,U7,Superonline,USAGE,4.8,GB,2026-03-12T22:00:00Z
EVT-8001,U8,Superonline,USAGE,18.5,GB,2026-03-12T08:15:00Z
EVT-8002,U8,Paycell,PAYMENT,350.0,TRY,2026-03-12T11:30:00Z
EVT-8003,U8,TV+,CONTENT_CONSUMPTION,200.0,MIN,2026-03-12T15:45:00Z
EVT-8004,U8,Fizy,CONTENT_CONSUMPTION,60.0,MIN,2026-03-12T18:20:00Z
EVT-9001,U9,Superonline,USAGE,22.0,GB,2026-03-12T06:00:00Z
EVT-9002,U9,Paycell,PAYMENT,450.0,TRY,2026-03-12T09:45:00Z
EVT-9003,U9,Game+,CONTENT_CONSUMPTION,180.0,MIN,2026-03-12T13:00:00Z
EVT-9004,U9,TV+,CONTENT_CONSUMPTION,150.0,MIN,2026-03-12T17:30:00Z
EVT-9005,U9,Superonline,USAGE,5.0,GB,2026-03-12T21:15:00Z
EVT-10001,U10,Superonline,USAGE,11.0,GB,2026-03-12T09:30:00Z
EVT-10002,U10,Paycell,PAYMENT,240.0,TRY,2026-03-12T12:00:00Z
EVT-10003,U10,Fizy,CONTENT_CONSUMPTION,75.0,MIN,2026-03-12T16:30:00Z
EVT-10004,U10,TV+,CONTENT_CONSUMPTION,100.0,MIN,2026-03-12T20:00:00Z
